# SPSA parameter list: name, default, min, max, c_end, r_end
#   c_end: final perturbation size (knob units)
#   r_end: final learning-rate factor (fishtest convention, a = r * c^2)
# Defaults must match the engine's UCI defaults (see config.hpp).
# rfp_* knobs are excluded: Constexpr::use_rfp is false, the code is dead.
razor_depth,             3,    1,   10,    1,   0.002
razor_margin,           63,    1,  500,   15,   0.002
razor_depth_factor,    182,    1, 1000,   30,   0.002
nmp_base,                5,    1,   10,    1,   0.002
nmp_depth_div,           5,    1,   20,    2,   0.002
nmp_eval_div,          214,   50, 1000,   40,   0.002
probcut_margin,        150,   50,  500,   25,   0.002
futility_depth,          6,    1,   15,    1,   0.002
futility_margin,       120,   20,  500,   25,   0.002
lmp_depth,               5,    1,   15,    1,   0.002
lmp_base,                3,    0,   20,    1,   0.002
lmp_improving_base,      5,    0,   20,    1,   0.002
se_depth,                8,    4,   16,    1,   0.002
se_margin_mult,          2,    1,   10,    1,   0.002
se_entry_slack,          3,    0,   10,    1,   0.002
se_double_margin,       30,    5,  300,   10,   0.002
se_double_cap,           4,    0,   16,    1,   0.002
lmr_cutoff_cnt,          3,    1,   10,    1,   0.002
lmr_hist_div,         8192, 1024, 65536, 1500,  0.002
hist_bonus_cap,       1600,  256, 8192,  300,   0.002
hist_bonus_scale,       32,    4,  128,    8,   0.002
asp_delta,              12,    4,  100,    4,   0.002
asp_depth,               5,    1,   12,    1,   0.002
lmr_base,              125,    1,  500,   15,   0.002
lmr_divisor,           224,   50, 1000,   25,   0.002
tm_volatility_threshold,100,   1, 10000,  25,   0.002
